USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
avahi      850  0.0  0.0  30388  2884 ?        S    Apr04   0:01 avahi-daemon: running [nokiLp.local]
avahi      855  0.0  0.0  30188    20 ?        S    Apr04   0:00  \_ avahi-daemon: chroot helper
root      1028  0.0  0.1 392948  9944 ?        Ssl  Apr04   0:03 NetworkManager
nobody    2088  0.0  0.0  40288  2976 ?        S    Apr04   0:00  \_ /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      2338  0.0  0.1  23488 10168 ?        S    10:07   0:00  \_ /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/sendsigs.omit.d/network-manager.dhclient-wlan1.pid -lf /var/lib/NetworkManager/dhclient-3e0a09ef-d04f-4055-b026-c651ca445f51-wlan1.lease -cf /var/lib/NetworkManager/dhclient-wlan1.conf wlan1
root      1031  0.0  0.0  12824  1804 tty4     Ss+  Apr04   0:00 /sbin/getty -8 38400 tty4
root      1035  0.0  0.0  12824  1804 tty5     Ss+  Apr04   0:00 /sbin/getty -8 38400 tty5
root      1037  0.0  0.0 150804  5744 ?        Ssl  Apr04   0:01 thermald --no-daemon --dbus-enable
root      1043  0.0  0.0  12824  1784 tty2     Ss+  Apr04   0:00 /sbin/getty -8 38400 tty2
root      1045  0.0  0.0  12824  1752 tty3     Ss+  Apr04   0:00 /sbin/getty -8 38400 tty3
root      1049  0.0  0.0  12824  1780 tty6     Ss+  Apr04   0:00 /sbin/getty -8 38400 tty6
root      1057  0.0  0.0  26052  2356 ?        Ss   Apr04   0:00 cron
root      1084  0.0  0.0  19440  1988 ?        Ss   Apr04   0:01 /usr/sbin/irqbalance
root      1105  0.0  0.0 156128  7168 ?        Ssl  Apr04   0:00 /usr/sbin/cups-browsed
root      1107  0.0  0.0 287496  6160 ?        Sl   Apr04   0:00 /usr/lib/policykit-1/polkitd --no-debug
root      1209  0.0  0.0 350332  5124 ?        SLsl Apr04   0:00 lightdm
root      1248  1.2  0.7 440824 60808 tty7     Ssl+ Apr04  11:29  \_ /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1460  0.0  0.0 162896  4976 ?        Sl   Apr04   0:00  \_ lightdm --session-child 12 19
hanoch    1812  0.0  0.0  36172  3712 ?        Ss   Apr04   0:47      \_ /sbin/upstart --user
hanoch    1878  0.0  0.0  24436  1624 ?        S    Apr04   0:00          \_ upstart-udev-bridge --daemon --user
hanoch    1889  0.9  0.0  43668  3612 ?        Ss   Apr04   8:51          \_ dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-qHFjh0aoXp
